C,epsilon,error_ma,error_ms,Actual Values,Predctied values
3000,0.1,2.5596202176416796,6.551655658560039,[141.582],[139.02237978]
3000,0.2,2.2077224509523887,4.874038420439223,[142.21],[144.41772245]
3000,0.2,0.6040008817080036,0.36481706510404577,[141.5],[142.10400088]
3000,0.2,0.8588204281725496,0.7375725278464813,[139.41],[138.55117957]
3000,0.1,0.9867069189768358,0.97359054395676,[135.665],[134.67829308]
3000,0.2,3.137455346120248,9.843626048898527,[136.295],[133.15754465]
3000,0.2,0.27643658698227114,0.07641718662240676,[130.092],[130.36843659]
3000,0.2,1.8507359260304668,3.4252234678998494,[129.651],[127.80026407]
3000,0.5,10.227660227912565,104.60503373762451,[137.993],[127.76533977]
2000,0.3,6.539897805769357,42.77026330990685,[138.648],[132.10810219]
2000,0.2,14.3290280298948,205.32104428151086,[146.368],[132.03897197]
3000,0.2,2.4880341212570443,6.190313788539313,[130.22],[132.70803412]
3000,0.5,8.201036482241932,67.25699938306312,[138.665],[130.46396352]
2000,0.2,12.05931834824355,145.42715902428355,[143.926],[131.86668165]
3000,0.2,0.3594288809003672,0.12918912042529032,[130.653],[130.29357112]
2000,0.2,3.0609460331844787,9.369390618067795,[131.922],[128.86105397]
3000,0.2,3.536710852564312,12.508323654646182,[126.524],[130.06071085]
3000,0.3,8.228920912744542,67.71513938820446,[126.524],[134.75292091]
1000,0.3,7.57502352593707,57.38098141850008,[126.524],[134.09902353]
2000,0.2,3.6925721810183916,13.635089312030921,[126.524],[130.21657218]
3000,0.2,10.264836081780885,105.36685978583075,[126.524],[136.78883608]
3000,0.2,3.2773757240408656,10.741191636532388,[130.978],[127.70062428]
3000,0.5,3.1188530670218313,9.727244453671483,[123.535],[126.65385307]
3000,0.1,11.764763299832467,138.4096555010849,[119.207],[130.9717633]
3000,0.4,3.6691322034424445,13.462531126338408,[123.15],[119.4808678]
3000,0.2,1.26021951943342,1.588153237161,[125.013],[123.75278048]
3000,0.3,7.760927430989398,60.23199458908369,[128.232],[120.47107257]
3000,0.2,0.3161554012778538,0.09995423775716075,[118.274],[117.9578446]
3000,0.2,2.8545898350280936,8.148683126245718,[118.274],[121.12858984]
2000,0.2,3.03073066504399,9.185328364037984,[118.274],[121.30473067]
2000,0.2,7.485030585332453,56.025682863362285,[118.274],[125.75903059]
2000,0.2,3.6465823755718105,13.29756302183095,[124.355],[120.70841762]
3000,0.2,0.917563567818803,0.8419229009883711,[123.15],[122.23243643]
3000,0.2,0.06054780569945706,0.0036660367750192047,[117.53],[117.59054781]
3000,0.2,0.38376114716018606,0.147272618069702,[117.53],[117.91376115]
2000,0.4,6.3198567829235515,39.94058975666482,[123.15],[129.46985678]
3000,0.3,7.286652510113413,53.0953048031421,[123.15],[130.43665251]
3000,0.2,0.3917329120906743,0.15345467441503996,[123.15],[122.75826709]
3000,0.2,1.891884324512688,3.5792262973368296,[123.15],[125.04188432]
3000,0.2,1.666571405321264,2.7774602490344926,[123.15],[124.81657141]
3000,0.2,0.7293837224450215,0.5320006145677562,[130.437],[129.70761628]
3000,0.1,6.325108862837965,40.007002126751374,[130.437],[124.11189114]
3000,0.2,5.587880855686535,31.224412457348084,[130.437],[124.84911914]
3000,0.2,2.5957105444903874,6.737713230778583,[126.181],[123.58528946]
3000,0.2,5.077870881158958,25.784772685722054,[130.437],[125.35912912]
3000,0.5,5.482127223000731,30.053718889165705,[120.529],[126.01112722]
3000,0.4,5.597883989353676,31.336305158262224,[118.183],[123.78088399]
3000,0.2,1.3139377231387641,1.7264323402870796,[129.632],[130.94593772]
3000,0.2,0.5412694539552945,0.2929726217850626,[129.632],[130.17326945]
3000,0.2,0.7008198849761129,0.4911485111779321,[123.535],[124.23581988]
3000,0.1,4.025027829130579,16.20084902527562,[151.017],[155.04202783]
3000,0.5,1.6072854973005803,2.583366669832774,[146.644],[145.0367145]
3000,0.2,2.0146621432069765,4.058863551271328,[146.644],[144.62933786]
3000,0.2,1.152883422026406,1.329140184783316,[152.527],[153.67988342]
3000,0.2,0.42934231025105873,0.18433481937171636,[152.527],[152.95634231]
3000,0.2,1.0085661325596504,1.0172056437463304,[152.527],[153.53556613]
3000,0.2,0.9778040146135538,0.956100690994383,[146.43],[145.45219599]
3000,0.2,0.2383348562770493,0.05680350371660175,[146.43],[146.66833486]
3000,0.2,4.779528319971831,22.843890961412757,[152.527],[147.74747168]
3000,0.5,2.7007383087586163,7.293987412396351,[152.421],[149.72026169]
3000,0.2,1.2640259290243705,1.597761549245923,[152.312],[151.04797407]
2000,0.3,2.6360722764461286,6.948877046647874,[152.421],[149.78492772]
3000,0.2,0.44136090271783246,0.19479944644789995,[146.324],[145.8826391]
3000,0.5,2.8228812072322853,7.968658310145204,[146.43],[143.60711879]
2000,0.3,3.299004239634513,10.883428973126492,[147.318],[150.61700424]
3000,0.2,1.4516814950814307,2.107379163161858,[154.202],[152.7503185]
3000,0.2,4.039258894708837,16.315612418484456,[144.775],[148.81425889]
3000,0.2,0.00833194492534517,6.942130623898512e-05,[151.647],[151.65533194]
2000,0.4,4.2193553106966135,17.802959237903718,[157.466],[153.24664469]
3000,0.3,0.16302167043141935,0.026576065030250305,[153.727],[153.89002167]
3000,0.3,2.6158602589876523,6.842724894550948,[151.699],[154.31486026]
3000,0.2,1.3026593922952827,1.6969214923351152,[155.366],[154.06334061]
3000,0.1,1.4679058740629216,2.1547476551084297,[151.832],[153.29990587]
3000,0.2,0.287866036858901,0.08286685517685015,[151.832],[152.11986604]
3000,0.2,0.6169463598629648,0.3806228109481628,[151.832],[152.44894636]
3000,0.2,0.9149034591999055,0.837048339655953,[151.489],[152.40390346]
3000,0.5,2.2892143121292463,5.240502166857378,[151.489],[153.77821431]
2000,0.3,1.7277778898960037,2.985216436813487,[151.489],[149.76122211]
3000,0.2,0.1610390011826155,0.025933559901894433,[151.489],[151.327961]
3000,0.1,0.5153987853433648,0.26563590793341585,[151.489],[150.97360121]
3000,0.2,2.695322757906979,7.264764769291283,[151.489],[154.18432276]
3000,0.2,0.19981200112329134,0.03992483579289418,[151.832],[152.031812]
3000,0.1,1.6936666454098486,2.8685067057738496,[151.832],[150.13833335]
3000,0.2,3.5835201120355293,12.841616393363132,[156.021],[159.60452011]
2000,0.3,2.560965845301837,6.558546060802552,[153.727],[156.28796585]
3000,0.2,2.074568838744767,4.303835866690812,[155.495],[157.56956884]
3000,0.1,1.5673928349988842,2.4567202992058395,[155.495],[153.92760717]
3000,0.2,1.3802229246350919,1.9050153216882466,[155.261],[153.88077708]
3000,0.2,0.631300585159039,0.398540428822145,[155.152],[154.52069941]
3000,0.2,1.3534541840550673,1.831838228336168,[151.832],[150.47854582]
3000,0.2,0.30203206368264546,0.0912233674923976,[155.261],[154.95896794]
3000,0.2,1.7734734316691174,3.145208012836236,[151.96],[150.18652657]
3000,0.5,4.940706308390247,24.410578825767185,[151.617],[156.55770631]
3000,0.2,0.6191111653028258,0.38329863500262296,[151.617],[152.23611117]
3000,0.1,1.8793116402251258,3.5318122410856527,[151.384],[153.26331164]
3000,0.2,2.559225885409944,6.549637132552313,[155.495],[158.05422589]
3000,0.1,7.996343731251386,63.94151306832334,[158.619],[150.62265627]
3000,0.1,2.1513027879409776,4.628103685402623,[151.617],[149.46569721]
3000,0.2,0.028799833339405723,0.0008294304003775454,[165.2],[165.17120017]
3000,0.2,2.048420672398663,4.196027251110191,[165.637],[163.58857933]
3000,0.2,0.9249925935295948,0.8556112980846062,[165.8],[164.87500741]
3000,0.2,1.7267528357677122,2.9816753558318356,[164.5],[166.22675284]
3000,0.1,1.1049805546346647,1.2209820261207311,[166.7],[165.59501945]
3000,0.1,1.2221208643491082,1.4935794070774113,[163.3],[164.52212086]
3000,0.1,2.0177737992991354,4.0714111051380675,[160.83],[162.8477738]
2000,0.3,1.6690389655277897,2.7856910684500744,[170.75],[169.08096103]
3000,0.2,0.27639181260249757,0.07639243407369413,[166.],[165.72360819]
3000,0.2,9.683140075000807,93.76320171208664,[173.272],[163.58885992]
3000,0.3,2.481331875376924,6.157007875761562,[175.636],[178.11733188]
3000,0.2,2.8427738372395766,8.081363089693827,[169.539],[166.69622616]
3000,0.2,2.6299820499893656,6.916805583266266,[169.539],[166.90901795]
3000,0.3,3.983863133832017,15.87116546910586,[169.539],[173.52286313]
3000,0.2,2.854203381076985,8.146476940551294,[183.841],[180.98679662]
3000,0.3,1.1281930883417033,1.2728196445819904,[174.598],[173.46980691]
3000,0.2,5.471414939188577,29.93638143677594,[176.107],[181.57841494]
3000,0.2,0.1365079755574925,0.01863442739080497,[174.598],[174.46149202]
2000,0.3,4.403204416928247,19.388209137256425,[174.11],[178.51320442]
3000,0.3,3.1492762426598517,9.917940852581753,[174.598],[177.74727624]
3000,0.4,5.724533929319392,32.77028870792892,[174.11],[179.83453393]
3000,0.1,4.3693171024496,19.090931941758566,[178.604],[182.9733171]
3000,0.1,0.7577926852205508,0.5742497537737727,[178.261],[177.50320731]
3000,0.2,0.04234450041286664,0.0017930567152152628,[178.261],[178.2186555]
3000,0.4,2.638913207373122,6.963862916048297,[178.261],[175.62208679]
3000,0.4,1.4511148949898995,2.105734438461547,[174.727],[176.17811489]
3000,0.1,1.7447743160926734,3.0442374140966564,[174.727],[176.47177432]
